L,h,T,E,C,FM,Xfm,AFM,Xafm
32,0,3.713000,-0.611324,0.210007,0.000647,1.382882,0.000059,0.107017
32,0,3.634000,-0.628082,0.222330,0.000646,1.508403,0.000063,0.107808
32,0,3.555000,-0.646655,0.238056,0.001177,1.652738,0.000065,0.107763
32,0,3.476000,-0.665242,0.252992,0.000524,1.772820,0.000061,0.107239
32,0,3.397000,-0.686223,0.271065,0.001017,1.996036,0.000064,0.108066
32,0,3.318000,-0.708698,0.289972,0.001335,2.196001,0.000050,0.107149
32,0,3.239000,-0.733009,0.315332,0.001641,2.503082,0.000051,0.106994
32,0,3.160000,-0.758979,0.338883,0.001834,2.848525,0.000081,0.105928
32,0,3.081000,-0.785631,0.367877,0.001570,3.288427,0.000061,0.106021
32,0,3.002000,-0.817101,0.403833,0.001816,3.847393,0.000035,0.105171
32,0,2.923000,-0.849748,0.440403,0.002800,4.547922,0.000061,0.104427
32,0,2.844000,-0.886232,0.482575,0.002119,5.632623,0.000048,0.102768
32,0,2.765000,-0.927617,0.544350,0.004004,7.167290,0.000041,0.101242
32,0,2.686000,-0.972222,0.607220,0.005356,9.556007,0.000042,0.098475
32,0,2.607000,-1.024833,0.685335,0.008699,13.159758,0.000083,0.095848
32,0,2.528000,-1.081839,0.809113,0.000044,0.093453,0.012147,19.973543
32,0,2.449000,-1.157637,1.066722,0.000074,0.088644,0.024356,37.941017
32,0,2.370000,-1.259410,1.552442,0.000049,0.080641,0.057454,84.405320
32,0,2.291000,-1.391540,1.964988,0.000046,0.071241,0.171428,153.411497
32,0,2.212000,-1.535413,1.360626,0.000136,0.060769,0.730655,25.479300
32,0,2.133000,-1.627183,1.104920,0.000016,0.052472,0.848060,1.360455
32,0,2.054000,-1.704815,0.823698,0.000035,0.044835,0.892154,0.546469
32,0,1.975000,-1.762110,0.683660,0.000058,0.041036,0.918870,0.316108
32,0,1.896000,-1.811842,0.559822,0.000028,0.033788,0.939143,0.192198
32,0,1.817000,-1.851325,0.463658,0.000099,0.029007,0.954011,0.125568
32,0,1.738000,-1.885168,0.369704,0.000020,0.024138,0.965775,0.082426
32,0,1.659000,-1.911062,0.300404,0.000024,0.020337,0.974251,0.056556
32,0,1.580000,-1.933258,0.248985,0.000010,0.016526,0.981169,0.039215
32,0,1.501000,-1.950894,0.197392,0.000003,0.013185,0.986447,0.026966
32,0,1.422000,-1.964818,0.154785,0.000005,0.010306,0.990460,0.018617
32,0,1.343000,-1.975578,0.118743,0.000001,0.007757,0.993480,0.012746
32,0,1.264000,-1.983690,0.087431,0.000002,0.005689,0.995705,0.008350
32,0,1.185000,-1.989566,0.063166,0.000010,0.004001,0.997285,0.005422
32,0,1.106000,-1.993725,0.042429,0.000006,0.002600,0.998382,0.003278
32,0,1.027000,-1.996464,0.027631,0.000001,0.001622,0.999097,0.001911
32,0,0.948000,-1.998182,0.016767,0.000001,0.000925,0.999538,0.001052
32,0,0.869000,-1.999151,0.009161,0.000002,0.000472,0.999785,0.000519
32,0,0.790000,-1.999662,0.004377,0.000001,0.000210,0.999915,0.000221
32,0,0.711000,-1.999899,0.001599,0.000000,0.000070,0.999975,0.000072
32,0,0.632000,-1.999978,0.000447,0.000000,0.000017,0.999994,0.000018
32,0,0.553000,-1.999996,0.000102,0.000000,0.000004,0.999999,0.000004
32,0,0.474000,-2.000000,0.000008,0.000000,0.000000,1.000000,0.000000
32,0,0.395000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.316000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.237000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.158000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.079000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,2.528000,-1.084567,0.819321,0.007968,21.132176,0.000043,0.093381
32,0,2.449000,-1.156675,1.052716,0.026613,37.693944,0.000062,0.088528
32,0,2.370000,-1.255049,1.486431,0.041344,80.674137,0.000039,0.080730
32,0,2.291000,-1.396052,1.950341,0.190154,154.388443,0.000063,0.071450
32,0,2.212000,-1.533615,1.339141,0.778973,3.562650,0.000019,0.060735
32,0,2.133000,-1.626952,1.089179,0.846685,1.430057,0.000037,0.051729
32,0,2.054000,-1.703162,0.836236,0.890975,0.571284,0.000026,0.044972
32,0,1.975000,-1.761962,0.672324,0.918812,0.310344,0.000025,0.038592
32,0,1.896000,-1.812118,0.543310,0.939531,0.183933,0.000070,0.033509
32,0,1.817000,-1.851979,0.451437,0.954335,0.120561,0.000053,0.028406
32,0,1.738000,-1.885205,0.371946,0.965838,0.081185,0.000013,0.023958
32,0,1.659000,-1.912416,0.306775,0.974727,0.055350,0.000012,0.019953
32,0,1.580000,-1.933264,0.249176,0.981167,0.039604,0.000020,0.016564
32,0,1.501000,-1.950833,0.198567,0.986407,0.027417,0.000007,0.013172
32,0,1.422000,-1.964732,0.154860,0.990439,0.018663,0.000015,0.010341
32,0,1.343000,-1.975555,0.118759,0.993474,0.012741,0.000002,0.007782
32,0,1.264000,-1.983641,0.088160,0.995694,0.008420,0.000002,0.005694
32,0,1.185000,-1.989524,0.062799,0.997274,0.005384,0.000009,0.003995
32,0,1.106000,-1.993722,0.042799,0.998383,0.003299,0.000011,0.002628
32,0,1.027000,-1.996467,0.027555,0.999096,0.001922,0.000008,0.001617
32,0,0.948000,-1.998174,0.016694,0.999536,0.001050,0.000004,0.000926
